target_col,test_seed,n_train,row_method,column_method,probability_row_beats_column
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | hgb,enriched_interpretable | hgb,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | hgb,enriched_interpretable | mlp,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | hgb,enriched_interpretable | rf,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | hgb,enriched_interpretable | ridge,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | hgb,geometry_only | hgb,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | hgb,geometry_only | mlp,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | hgb,geometry_only | rf,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | hgb,geometry_only | ridge,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | hgb,geometry_plus_topology | hgb,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | hgb,geometry_plus_topology | mlp,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | hgb,geometry_plus_topology | rf,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | hgb,geometry_plus_topology | ridge,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | hgb,topology_only | hgb,0.5
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | hgb,topology_only | mlp,0.3
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | hgb,topology_only | rf,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | hgb,topology_only | ridge,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | mlp,enriched_interpretable | hgb,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | mlp,enriched_interpretable | mlp,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | mlp,enriched_interpretable | rf,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | mlp,enriched_interpretable | ridge,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | mlp,geometry_only | hgb,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | mlp,geometry_only | mlp,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | mlp,geometry_only | rf,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | mlp,geometry_only | ridge,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | mlp,geometry_plus_topology | hgb,0.0
