suite_name,target_col,test_seed,n_train,descriptor_family,n_models,rmse_family_mean,rmse_family_best,rmse_family_std_across_models,mae_family_mean,mae_family_best,mae_family_std_across_models,r2_family_mean,r2_family_best,r2_family_std_across_models,spearman_family_mean,spearman_family_best,spearman_family_std_across_models
primary,uptake(mmol/g) CO2 at 0.15 bar,17,2000,geometry_plus_topology,4,0.6139407898719551,0.5914317035058202,0.02623066228334831,0.3588610633255544,0.3423969124490784,0.021525288339783042,0.6237778832824483,0.6513868359093892,0.032534782461770925,0.8448834034294064,0.8542522400573478,0.010341989787216371
primary,uptake(mmol/g) CO2 at 0.15 bar,17,2000,topology_only,4,0.7951723950334759,0.7931942403286646,0.002606439144540129,0.5238773483240835,0.5212987270222533,0.0030380534692748024,0.36985228912909063,0.3729966747107338,0.004136307399280172,0.6393094655100399,0.6443429225334695,0.008086891010031594
primary,uptake(mmol/g) CO2 at 0.15 bar,17,5000,enriched_interpretable,4,0.6380148728780131,0.6022755261171808,0.04878799064938482,0.38234726665788066,0.3538681055020425,0.038965194068961116,0.5925048293779769,0.6384956498767824,0.06355805210272562,0.8363918126719476,0.8509310413633464,0.020443483558174297
primary,uptake(mmol/g) CO2 at 0.15 bar,17,5000,geometry_only,4,0.6607824099030165,0.6171009189838852,0.05839283987459003,0.4047120003711074,0.36425628694678835,0.061145267468056756,0.5622613575244972,0.6204725763630393,0.07954771328156646,0.8284031671461108,0.8463859043319097,0.02474209368486517
primary,uptake(mmol/g) CO2 at 0.15 bar,17,5000,geometry_plus_topology,4,0.5917267350453278,0.5658450796395558,0.036677379087801276,0.3434840564186522,0.32380054484106013,0.029731881017350966,0.650029745780993,0.6808926241834768,0.04437476542364336,0.8585414585081064,0.8681063229679282,0.016505094045103023
primary,uptake(mmol/g) CO2 at 0.15 bar,17,5000,topology_only,4,0.79143717759915,0.7900757312553852,0.001988173302546093,0.5222713630772158,0.5204369483879833,0.0020589226385959083,0.3757727522190283,0.37792174931936884,0.0031397220783322714,0.642809508854944,0.6464944029129029,0.005400396815279028
primary,uptake(mmol/g) CO2 at 0.15 bar,17,10000,enriched_interpretable,4,0.6216058951190704,0.5794827424049169,0.058473310375265146,0.3721467084140694,0.34004782403480593,0.04577197166182404,0.6123582260218724,0.6653383576145097,0.07483812627100038,0.8436634262802973,0.8611560411163712,0.02522143603555594
primary,uptake(mmol/g) CO2 at 0.15 bar,17,10000,geometry_only,4,0.6444504184109626,0.5983382741574808,0.0679392587413278,0.3937606449788883,0.3514567012824945,0.06749191486967519,0.5826354093697247,0.6431972721465462,0.09132457755063939,0.8359100862413626,0.8551592701140731,0.028675064554379587
primary,uptake(mmol/g) CO2 at 0.15 bar,17,10000,geometry_plus_topology,4,0.5765096930970801,0.5421975316706397,0.046194188440246954,0.3345468513098273,0.3105939579435299,0.036187806345125445,0.6671555217085783,0.7070054938177851,0.05469977716084138,0.8649917903069054,0.878707922167048,0.021170903162079813
primary,uptake(mmol/g) CO2 at 0.15 bar,17,10000,topology_only,4,0.7897618694605479,0.788665406944709,0.0017053150926744853,0.5209251661097887,0.519503735248507,0.0015428067705465112,0.37841476818715486,0.38014160774587086,0.002686798861223335,0.6451611947857847,0.647287844643731,0.003769953379042769
