target_col,test_seed,subsample_seed,n_train,descriptor_family,model_name,feature,importance_mean,importance_std
uptake(mmol/g) CO2 at 0.15 bar,17,0,210995,geometry_plus_topology,rf,POAVA,0.026815986556750333,0.0006610324430293688
uptake(mmol/g) CO2 at 0.15 bar,17,0,210995,geometry_plus_topology,rf,Df,0.032268767375425556,0.000343647730962557
uptake(mmol/g) CO2 at 0.15 bar,17,0,210995,geometry_plus_topology,rf,Di,0.019207472189894326,0.00039721225527386843
uptake(mmol/g) CO2 at 0.15 bar,17,0,210995,geometry_plus_topology,rf,Dif,0.013349858974788336,0.00036234197948823067
uptake(mmol/g) CO2 at 0.15 bar,17,0,210995,geometry_plus_topology,rf,lcd_pld_ratio,0.02310954999306448,0.0003593211911482965
uptake(mmol/g) CO2 at 0.15 bar,17,0,210995,geometry_plus_topology,rf,cavity_window_gap,0.01412938606478612,0.000249969775341895
uptake(mmol/g) CO2 at 0.15 bar,17,0,210995,geometry_plus_topology,rf,sa_pv_ratio,0.021601191463650325,0.0003506136303850056
uptake(mmol/g) CO2 at 0.15 bar,17,0,210995,geometry_plus_topology,rf,vf_density_ratio,0.40204333738320874,0.0027341916505685313
uptake(mmol/g) CO2 at 0.15 bar,17,0,210995,geometry_plus_topology,rf,log_pld_plus1,0.03343898114777424,0.00045388424589299395
uptake(mmol/g) CO2 at 0.15 bar,17,0,210995,geometry_plus_topology,rf,log_lcd_plus1,0.020374697675477105,0.0003549157185420058
uptake(mmol/g) CO2 at 0.15 bar,17,0,210995,geometry_plus_topology,rf,topology_label___OTHER__,0.24247479198805694,0.0019433267517764746
uptake(mmol/g) CO2 at 0.15 bar,17,1,500,geometry_plus_topology,rf,UC_volume,0.003302370511108177,0.000165559551902518
uptake(mmol/g) CO2 at 0.15 bar,17,1,500,geometry_plus_topology,rf,Density,0.012782459189010853,0.000289095594337545
uptake(mmol/g) CO2 at 0.15 bar,17,1,500,geometry_plus_topology,rf,ASA,0.004736554432527074,0.0002699323427519069
uptake(mmol/g) CO2 at 0.15 bar,17,1,500,geometry_plus_topology,rf,vASA,0.006291615950157236,0.0002814350261712633
uptake(mmol/g) CO2 at 0.15 bar,17,1,500,geometry_plus_topology,rf,NASA,0.0003208379039312814,9.811817451708054e-05
uptake(mmol/g) CO2 at 0.15 bar,17,1,500,geometry_plus_topology,rf,AVA,0.02195901200123762,0.0006477874014223563
uptake(mmol/g) CO2 at 0.15 bar,17,1,500,geometry_plus_topology,rf,AVAf,0.18740851520166996,0.0009695983823025724
uptake(mmol/g) CO2 at 0.15 bar,17,1,500,geometry_plus_topology,rf,POAVA,-0.0004580675330450701,0.00016279526026552135
uptake(mmol/g) CO2 at 0.15 bar,17,1,500,geometry_plus_topology,rf,Df,0.013189149722691428,0.00023577890793615404
uptake(mmol/g) CO2 at 0.15 bar,17,1,500,geometry_plus_topology,rf,Di,0.005318967370660355,0.00013866355750491566
uptake(mmol/g) CO2 at 0.15 bar,17,1,500,geometry_plus_topology,rf,Dif,0.00717322783036759,0.0001457338079247436
uptake(mmol/g) CO2 at 0.15 bar,17,1,500,geometry_plus_topology,rf,lcd_pld_ratio,0.0031098655813344145,0.00041326449820894566
uptake(mmol/g) CO2 at 0.15 bar,17,1,500,geometry_plus_topology,rf,cavity_window_gap,0.008256999936628295,0.0002769907578721759
uptake(mmol/g) CO2 at 0.15 bar,17,1,500,geometry_plus_topology,rf,sa_pv_ratio,0.008141641702416358,0.000263334764342001
uptake(mmol/g) CO2 at 0.15 bar,17,1,500,geometry_plus_topology,rf,vf_density_ratio,0.07210545041773532,0.0007317470893204272
uptake(mmol/g) CO2 at 0.15 bar,17,1,500,geometry_plus_topology,rf,log_pld_plus1,0.00685325645730801,0.00019302523654456913
uptake(mmol/g) CO2 at 0.15 bar,17,1,500,geometry_plus_topology,rf,log_lcd_plus1,0.00739999906606903,0.0003227543563289462
uptake(mmol/g) CO2 at 0.15 bar,17,1,500,geometry_plus_topology,rf,topology_label___OTHER__,0.06254137098899279,0.0009208232881810692
uptake(mmol/g) CO2 at 0.15 bar,17,1,2000,geometry_plus_topology,rf,UC_volume,0.008959583679360094,0.00034582628036530343
uptake(mmol/g) CO2 at 0.15 bar,17,1,2000,geometry_plus_topology,rf,Density,0.02557175278760976,0.00026210446045697104
uptake(mmol/g) CO2 at 0.15 bar,17,1,2000,geometry_plus_topology,rf,ASA,0.005401021770713432,0.00016733598254137076
uptake(mmol/g) CO2 at 0.15 bar,17,1,2000,geometry_plus_topology,rf,vASA,0.011991994088816137,0.0007099566805956668
uptake(mmol/g) CO2 at 0.15 bar,17,1,2000,geometry_plus_topology,rf,NASA,0.0010600892810716301,7.805726450146668e-05
uptake(mmol/g) CO2 at 0.15 bar,17,1,2000,geometry_plus_topology,rf,AVA,0.00492337021252881,0.00020383940156121224
uptake(mmol/g) CO2 at 0.15 bar,17,1,2000,geometry_plus_topology,rf,AVAf,0.25468095341984165,0.000987360568355073
